Time,Logc
0.8,4.45
0.8,4.39
2.5,4.42
2.5,4.38
5.1,4.61
5.1,4.41
8.5,5.25
8.5,4.82
10.2,5.49
11.8,6.02
11.8,5.83
15.1,6.74
15.1,6.58
18.5,7.87
18.5,7.6
21.8,8.61
21.8,8.59
25.1,9.52
28.4,10.05
35.1,10.33
41.7,10.19
41.7,10.18
55.6,10.36
55.6,10.33
87.5,10.12
87.5,10.3
99.4,10.27
99.4,10.42
